Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-08-13,938.7,938.7,884.33,926.85,2586539520
2018-08-14,946.89,952.99,928.1,934.19,1821678080
2018-08-15,950.41,952.45,901.32,902.63,1701947008
2018-08-16,914.93,915.69,871.43,871.43,1532859392
2018-08-17,866.02,887.64,846.54,887.35,1326124672
2018-08-20,889.85,904.76,889.39,901.86,388952480
2018-08-27,909.21,912.84,899.99,912.84,928994368
2018-08-28,912.74,939.75,909.92,938.67,1249642752
2018-08-29,933.17,942.8,927.6,932.81,1084225152
2018-08-31,934.5,936.58,921.33,927.23,956828480
2018-09-03,922.91,946.56,922.06,939.16,1036226240
2018-09-04,942.54,945.89,929.15,931.89,868924224
2018-09-05,931,937.19,923.71,927.91,999321920
2018-09-06,931.22,941.66,927.63,927.63,775435328
2018-09-07,931.71,936.76,925.39,932.74,912889344
2018-09-10,935.33,936.63,916.98,916.98,918608128
2018-09-11,918.74,927.48,914.5,923.89,878736256
2018-09-12,928.36,935.53,919.24,922.27,1083728256
2018-09-13,922.58,946.1,912.06,944.19,1604291840
2018-09-14,953.2,962.99,943.77,947.6,1547719424
2018-09-17,944.77,951.05,937.9,943.48,1273925632
2018-09-18,947.36,953.75,945.38,948.87,1257505152
2018-09-19,954.8,967.23,952.72,966.04,1826250240
2018-09-20,970.14,973.88,955.23,961.21,2188386816
2018-09-21,965.99,979.88,965.99,979.88,1281753856
2018-09-24,982.84,995.62,977.82,995.47,1866837632
2018-09-25,1000.97,1001.81,986.36,992.92,1736195712
2018-09-26,997.09,998.95,981.48,991.49,1160190208
2018-09-27,990.84,1006.38,989.34,1002.99,1950330240
2018-09-28,1004.27,1004.73,991.74,999.57,2025225344
2018-10-01,1000.75,1006.47,985.37,985.37,1693283968
2018-10-02,984.28,987.14,973.74,981.61,1294555904
2018-10-03,982.05,986.99,969.45,971.88,1296479104
2018-10-04,970.43,970.72,944.97,944.97,1285005184
2018-10-05,943.55,950.26,931.69,948.83,1259886848
2018-10-08,941.32,962.32,938.17,960.87,1414403328
2018-10-09,964.51,971,955.37,967.32,1544021376
2018-10-10,970.7,971.69,944.41,944.41,1448119552
2018-10-11,939.25,951.17,934.8,947.48,1367181056
2018-10-12,956.95,971.69,933.89,966.57,1843331584
2018-10-15,973.47,990.38,973.47,986.31,1862450176
2018-10-16,985.74,992.24,979.07,984.66,1509607680
2018-10-17,992.23,995.54,980.7,989.91,1596450688
2018-10-18,989.88,991.73,971.92,974.54,1277343360
2018-10-19,978.2,979.33,963.35,964.55,1166594176
2018-10-22,972.16,974.06,946.82,946.82,1073641984
2018-10-23,940.8,944.43,923.45,934.69,1250943741
2018-10-24,938.88,941.59,926.92,926.92,993469586
2018-10-25,922.72,937.66,919.58,937.48,1060205619
2018-10-26,939.73,940.36,905.42,905.42,1069180872
2018-10-30,908.84,913.87,885.64,900,1207956094
2018-10-31,904.45,919.27,892.78,902.01,1380455764
2018-11-01,902.54,924.41,899.5,923.87,1167914584
2018-11-02,924.78,945.71,924.78,941.23,1503922412
2018-11-05,945.24,959.48,938.13,959.48,1406529078
2018-11-06,961.47,962.82,941.64,947.28,1358196152
2018-11-07,946.48,960.47,942.62,954.93,1264672250
2018-11-08,955.22,956.42,932.58,935.06,1301753924
2018-11-09,932.98,936.98,921.27,928.39,1208678865
2018-11-12,930.06,936.95,914.45,914.45,954863622
2018-11-13,915.32,930.95,912.98,927.09,1190237059
2018-11-14,925.31,936.91,919.46,932.87,1389765776
2018-11-15,935.23,940.02,926.95,932.97,1333409389
2018-11-16,937.86,943.08,927.44,936.16,994151278
2018-11-19,935.68,946.03,935.68,945.71,1181245608
2018-11-20,942.8,943.92,915.46,916.86,1622067086
2018-11-21,920.22,927.08,915.59,927.08,1196410350
2018-11-22,927.43,929.4,918.83,926.29,902855245
2018-11-23,925.82,930.03,920.29,930.03,828978750
2018-11-26,935.22,944.36,934.55,939.62,1418916053
2018-11-27,939.05,941.04,930.43,935.17,1258990038
2018-11-28,935.17,946.73,935.17,940.71,1260065793
2018-11-29,940.71,955.45,940.71,951.26,1201983067
2018-11-30,951.26,954.16,945.28,954.16,1654263752
2018-12-03,963.67,968.3,949.74,949.74,1451604111
