Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-05-16,31.534,31.6994,31.1481,31.24,15545.966708678
2024-05-17,31.6075,31.6075,30.9276,31.24,21174.903968358
2024-05-20,31.24,31.6075,31.2216,31.4973,24321.318820976
2024-05-21,31.4973,31.5156,31.0562,31.3319,17102.30473678
2024-05-22,31.4054,31.4054,31.2216,31.387,4768.0537770034
2024-05-23,31.5892,31.6994,30.9827,31.24,38009.475030374
2024-05-24,32,32,31.1,31.6,12427
2024-05-27,32,32,31.4,31.6,1630
2024-05-28,31.5,31.98,31.3,31.3,1026
2024-05-29,31.3,31.6,31.12,31.56,669
2024-05-31,31.14,31.56,31,31,2195
2024-06-03,31.2,31.24,30.9,30.9,4348
2024-06-04,31.2,31.2,30.82,30.82,2026
2024-06-05,30.82,30.96,30.66,30.88,4848
2024-06-06,30.68,31.1,30.68,31.04,2439
2024-06-07,30.5,31.54,30.5,31.54,6098
2024-06-10,31.66,31.66,31,31.44,550
2024-06-11,31.06,31.68,31.06,31.6,1097
2024-06-12,31.6,31.66,31.28,31.5,2935
2024-06-13,31.52,31.68,31.22,31.26,483
2024-06-14,31.22,31.22,30.76,30.76,1614
2024-06-17,31.26,31.38,30.74,30.86,674
2024-06-18,30.92,31.36,30.92,31.1,134
2024-06-19,31.3,31.36,30.9,31.26,902
2024-06-20,31,31.18,30.86,30.86,644
2024-06-21,31,31.2,31,31.2,130
2024-06-24,31.24,31.36,31.04,31.26,1505
2024-06-25,31.26,31.26,31,31.04,1777
2024-06-26,31.08,31.1,30.9,30.9,545
2024-06-27,31.2,31.22,30.5,31,1062
2024-06-28,30.74,31.32,30.74,31.2,5185
2024-07-01,31.2,31.78,31.2,31.7,800
2024-07-02,31.7,31.8,31.14,31.8,2108
2024-07-03,31.24,31.78,31.24,31.76,321
2024-07-04,31.76,32.74,31.76,32.74,8563
2024-07-05,32.74,32.74,31.98,32.1,673
2024-07-08,32.2,32.2,31.1,31.3,2174
2024-07-09,31.3,31.3,31,31.02,3659
2024-07-10,31.02,31.02,30.8,30.88,826
2024-07-11,30.82,30.9,30.76,30.9,2448
2024-07-12,31.08,31.08,30.76,31,2062
2024-07-15,30.8,31.36,30.76,31.02,304
2024-07-16,31.36,31.36,29.5,30.82,9737
2024-07-17,31.24,31.3,30.56,31.3,1128
2024-07-18,31,31.4,30.8,31.4,3433
2024-07-19,30.9,31.66,30.9,31.4,1273
2024-07-22,31.4,31.46,31.02,31.46,408
2024-07-23,31.38,31.4,31.02,31.24,461
2024-07-24,31.2,31.2,31.06,31.06,713
2024-07-25,31.06,31.06,30.58,30.86,7087
2024-07-26,30.6,30.94,30.6,30.88,566
2024-07-29,30.8,31.26,30.8,30.96,395
2024-07-30,30.6,31.16,30.6,30.68,395
2024-07-31,30.6,30.88,30.56,30.8,1313
2024-08-01,30.64,30.98,30.58,30.58,442
2024-08-02,30.58,30.68,30.2,30.4,651
2024-08-05,31,31,29.46,29.7,8434
2024-08-06,29.68,30,29.68,29.8,13494
2024-08-07,29.74,29.98,29.64,29.94,3745
2024-08-08,29.9,30,29.72,30,1018
2024-08-09,30.18,30.82,30.18,30.32,690
2024-08-12,30.32,30.68,30,30,639
2024-08-13,30.58,30.58,29.9,30.54,220
2024-08-14,30.48,30.48,30,30.02,722
