Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-10-13,786.25,790.25,778.75,783.25
2014-10-14,783.25,793.75,783.25,789.75
2014-10-15,787.25,789.75,759.25,763.25
2014-10-16,765.75,767.75,727.75,739.25
2014-10-17,746.25,758.25,742.75,751.75
2014-10-20,752.75,762.25,751.75,760.75
2014-10-21,758.25,774.75,756.25,774.25
2014-10-22,772.75,780.25,766.25,766.75
2014-10-23,768.75,780.25,762.25,778.75
2014-10-24,779.25,787.25,775.75,777.75
2014-10-27,776.25,785.25,775.75,781.25
2014-10-28,780.75,798.75,777.75,791
2014-10-29,790.25,800.25,789.75,792
2014-10-30,788.25,788.75,773.25,777.5
2014-10-31,776.75,792.25,768.75,790.25
2014-11-03,790.75,806.25,789.25,801.25
2014-11-04,798.75,802.75,781.75,782.75
2014-11-05,781.25,783.75,753.25,755.75
2014-11-06,757.75,759.25,745.25,748.75
2014-11-07,752.75,774.25,746.75,771.25
2014-11-10,768.25,774.25,758.75,761.25
2014-11-11,762.25,772.75,753.25,770.75
2014-11-12,770.75,781.25,768.25,772.75
2014-11-13,773.75,777.75,764.25,764.75
2014-11-14,765,770.5,751,764.5
2014-11-17,764.5,772.5,760,768
2014-11-18,768,775.75,766,771.25
2014-11-19,771,777.75,762.25,762.25
2014-11-20,762.5,771.25,759.5,769.75
2014-11-21,769.5,793.25,768.5,788.75
2014-11-24,787,797.5,785,788.5
2014-11-25,792,797.75,787.5,791.75
2014-11-26,790.5,803,789,802.5
2014-11-27,804.5,805.5,793.25,805
2014-11-28,801.5,812.5,796,807
2014-12-01,794.5,809.5,790,804.5
2014-12-02,800,808,794,800.5
2014-12-03,803,811.5,793.25,794.25
2014-12-04,795,803.5,793.5,796
2014-12-05,796,804.25,794.5,801.25
2014-12-08,802.5,805.5,794.5,799
2014-12-09,798.25,809.25,795,806.25
2014-12-10,807,820.25,806,813.75
2014-12-11,814.5,820.75,811.75,816.25
2014-12-12,816,817,811.5,813.25
2014-12-15,812.5,813.5,794.5,795.5
2014-12-16,795.5,804.5,779.5,780.5
2014-12-17,784,790.5,773.25,776
2014-12-18,778,793.5,777,790.5
2014-12-19,790.5,805.5,786.5,804.5
2014-12-22,805.5,813.25,802.5,808.75
2014-12-23,809,813.5,807,810
2014-12-24,811.5,813,804,805.5
2014-12-26,814.5,816.5,809.75,816.25
2014-12-29,814.5,816.5,806,808
2014-12-30,808,812,798,802.5
2014-12-31,805,805,792,794.5
2015-01-02,793.5,799.5,788.5,792.5
2015-01-05,795.5,801,789.5,792.5
2015-01-06,793.5,806,792,800.5
2015-01-07,801,801.5,784,789
2015-01-08,790.5,794.5,784,789
2015-01-09,790.5,800.75,790,799.75
2015-01-12,800.5,811.75,798.5,808.25
2015-01-13,806,817.5,805,813.5
2015-01-14,814.5,814.5,764.5,774
2015-01-15,776,787.5,763.25,763.75
2015-01-16,766,772.5,744,753.5
2015-01-19,753.5,766.5,749.5,754
2015-01-20,763,781,758.5,775
